timestamp,tweet,username
Fri Oct 26 04:04:21 +0000 2018,RT @esriindonesia: Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemulihan b…,KopoBDG
Fri Oct 26 04:03:00 +0000 2018,"RT @SismoMundial: Terremoto Palu 7.5 Indonesia y posterior Tsunami

En el vídeo se aprecia como el pavimento se abre y se infla. https://t.…",ilkaitzel
Fri Oct 26 03:59:45 +0000 2018,RT @KopoBDG: Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah  #PrayForPalu #PrayForDonggala… https://t.co…,InFO_BanDunG_
Fri Oct 26 03:59:11 +0000 2018,"Pengungsi di Palu Utara Ketakutan Diteror Suara 'Hantu Pokpok', Ternyata Ini Yang Sebenarnya Terjadi

Warga menduga… https://t.co/dVVIkJhYwX",brandonizer0
Fri Oct 26 03:59:07 +0000 2018,"RT @bola_media: Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah   
#PrayForPalu  #PrayForDonggala   #Smar…",InFO_BanDunG_
Fri Oct 26 03:57:35 +0000 2018,"RT @wiranto1947: Roda perekonomian pasca gempa dan tsunami Palu mulai bergerak. Sesuai instruksi Presiden RI, kami himbau masyarakat mulai…",SitiNab32441559
Fri Oct 26 03:56:39 +0000 2018,"@iloedarsyad @ustadtengkuzul Loe contoh aja di palu Sulawesi .. knp FPI tdk sweeping judi &amp; LBGT alhasil gempa ,tsunami &amp; tanah bergerak .",FatihJufri
Fri Oct 26 03:55:50 +0000 2018,"RT @bola_media: Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah   
#PrayForPalu  #PrayForDonggala   #Smar…",jawabarat_info
Fri Oct 26 03:55:40 +0000 2018,RT @KopoBDG: Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah  #PrayForPalu #PrayForDonggala… https://t.co…,jawabarat_info
Fri Oct 26 03:55:14 +0000 2018,RT @esriindonesia: Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemulihan b…,muhdanass
Fri Oct 26 03:54:23 +0000 2018,"RT @SukmaHapsari: Mantan Wakil PM Malaysia Ahmad Zahid menyebut : 
Gempa dan tsunami di Indonesia yang baru-baru ini terjadi adalah ""hukuma…",Je_Ly
Fri Oct 26 03:54:09 +0000 2018,"RT @ediindonesia: Manajemen &amp; Karyawan PT EDI Indonesia menyalurkan bantuan untuk korban bencana gempa &amp; tsunami di Palu, Sigi, dan Donggal…",indonesiaport
Fri Oct 26 03:52:49 +0000 2018,RT @KopoBDG: Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah  #PrayForPalu #PrayForDonggala… https://t.co…,BandungINFO_KU
Fri Oct 26 03:52:46 +0000 2018,"SMP Al Hadi Bandung Peduli Palu-Donggala

BANDUNG – SMP Al Hadi yang berlokasi di Jl. A.H. Nasution No. 25 Bandung… https://t.co/Iqf47WQ0HC",ibf_berbagi
Fri Oct 26 03:52:42 +0000 2018,Halo sodaraku.   Pemberitahuan barang kali ada yang mau menyumbang korban gempa dan tsunami di palu dan Donggala bi… https://t.co/MK1mptC4C0,bode_andre
Fri Oct 26 03:51:43 +0000 2018,RT @KopoBDG: Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah  #PrayForPalu #PrayForDonggala… https://t.co…,cari2info
Fri Oct 26 03:50:35 +0000 2018,Indonesia. A Palu regna il silenzio un mese dopo lo tsunami https://t.co/edoWTmkHNB,IlMalpaese
Fri Oct 26 03:48:20 +0000 2018,"@OmPipik Pagi kak, mohon maaf sebelumnya ada salah info. Untuk kiriman ke Palu dan sekitarnya sdh dapat dilayani. N… https://t.co/EJr6wDvbB0",JNECare
Fri Oct 26 03:48:08 +0000 2018,"@OmPipik Pagi kak, mohon maaf sebelumnya ada salah info. Untuk kiriman ke Palu dan sekitarnya sdh dapat dilayani. N… https://t.co/YECXGfPAnS",JNECare
Fri Oct 26 03:47:50 +0000 2018,Bantu saudara kita korban gempa dan tsunami #Donggala #Palu #Sigi Sulawesi Tengah  #PrayForPalu #PrayForDonggala… https://t.co/wE8qyuxWuJ,KopoBDG
Fri Oct 26 03:46:19 +0000 2018,Pangkoarmada II Tinjau Sarana Prasarana Lanal Palu Yang Terdampak Gempa dan tsunami https://t.co/w2AecxHEJX https://t.co/Ogu0kL4uI7,paradigmabaru
Fri Oct 26 03:43:01 +0000 2018,PRAY FOR PALU - DIBALIK BENCANA GEMPA TSUNAMI DAN LIKUIFAKSI - INDONESIA BERDUKA: https://t.co/CiMqAbsySC melalui @YouTube,ramdhanirobby
Fri Oct 26 03:40:37 +0000 2018,RT @esriindonesia: Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemulihan b…,intaanelvira
Fri Oct 26 03:36:59 +0000 2018,"RT @CNN: This drone footage shows the devastation left by the earthquake and tsunami that hit Indonesia on Friday.

The 7.5 magnitude earth…",WakeThe_UP
Fri Oct 26 03:35:41 +0000 2018,"RT @CNN: This drone footage shows the devastation left by the earthquake and tsunami that hit Indonesia on Friday.

The 7.5 magnitude earth…",Shazza1uk
Fri Oct 26 03:34:48 +0000 2018,"RT @MELUPAYU1: @mizanstore @bentangpustaka @caknundotcom Terimakasih @mizanstore tadi pagi buku saya terima, menjadi penyemangat ketika dit…",bentangpustaka
Fri Oct 26 03:33:37 +0000 2018,RT @esriindonesia: Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemulihan b…,HadeHadi
Fri Oct 26 03:33:34 +0000 2018,"RT @ACTforHumanity: Sahabat, berikut ini sejumlah kebutuhan yang sangat diperlukan oleh ratusan ribu pengungsi gempa dan tsunami di Palu -…",ketapelkecil
Fri Oct 26 03:30:11 +0000 2018,"RT @MDMCIndonesia: Update Respon @muhammadiyah untuk Gempa Bumi &amp; Tsunami Palu, Sigi, dan Donggala Sulawesi Tengah 28 September - 24 Oktobe…",Arifnaurafatih
Fri Oct 26 03:30:05 +0000 2018,RT @esriindonesia: Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemulihan b…,GIS_Sharer
Fri Oct 26 03:29:32 +0000 2018,"RT @calleGerardo: Video del tsunami que golpeó la costa de Palu, Indonesia, tras el sismo de 7.5 de hoy. https://t.co/UYWEPcVMUC",mom_marcela
Fri Oct 26 03:28:51 +0000 2018,BANDUNG – SMP Al Hadi yang berlokasi di Jl. A.H. Nasution No. 25 Bandung menyalurkan donasi Peduli Bencana Gempa &amp;… https://t.co/p5ucx0LvAa,ibf_berbagi
Fri Oct 26 03:21:02 +0000 2018,Tim Esri Indonesia Emergency Spatial Support Centre (ESSC) membuat smart mapping portal untuk membantu upaya pemuli… https://t.co/3hec7gTCV2,esriindonesia
Fri Oct 26 03:19:14 +0000 2018,"Pengungsi di Palu Utara Ketakutan Diteror Suara 'Hantu Pokpok', Ternyata Ini Yang Sebenarnya Terjadi

Warga menduga… https://t.co/hxqA9wMnWj",sumberita_id
Fri Oct 26 03:16:59 +0000 2018,"@mizanstore @bentangpustaka @caknundotcom Terimakasih @mizanstore tadi pagi buku saya terima, menjadi penyemangat k… https://t.co/mC2vJGMBnL",MELUPAYU1
Fri Oct 26 03:09:02 +0000 2018,"😭😭😭😭

kesaksian Muazin masjid terapung palu yang selamat dari Tsunami https://t.co/02Yvi1YrC8 via @YouTube",rosebadrose
Fri Oct 26 03:07:10 +0000 2018,RT @MetroTVNewsRoom: Bencana alam gempa bumi dan tsunami yang terjadi di Palu-Donggala mengakibatkan kerusakan infrastruktur hingga korban…,adamalfarisi2
Fri Oct 26 03:06:55 +0000 2018,"RT @maspiyuuu: TAHUKAH ANDA wahai pembakar bendera Tauhid?

Bendera Tauhid adalah bendera yang dirindukan para korban bencana gempa tsunami…",indraGder
Fri Oct 26 03:05:58 +0000 2018,"RT @Persib_Day: BOBOTOH PEDULI
bobotohpeduli bersama @actforhumanity &amp; @kitabisacom .
.
Bantu Korban Gempa dan Tsunami Palu-Donggala .
.
Ca…",abstrkk
Fri Oct 26 03:04:43 +0000 2018,"RT @vivi_banseng: Mau #memetwit soal kondisi dan situasi gempa, tsunami, dan likuifaksi di palu, dari yang kemaren hingga saat ini.",indrietet1
