Identitas,KodeProv,Provinsi,KodeKab,KabKota,KodeKat,Kategori,Namakejadian,Tanggal,Bulan,Tahun,Meninggal,Lukaluka,Hilang,Terdampak,Mengungsi,RumahRusakBerat,RumahRusakSedang,RumahRusakRingan,Kesehatan,Peribadatan,Pendidikan
3308105200910191,33,Jawa Tengah,3308,Magelang,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,1,,27,,,
3307105200910191,33,Jawa Tengah,3307,Wonosobo,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,20,,12,,,
3309105200910191,33,Jawa Tengah,3309,Boyolali,105,Puting Beliung,Puting Beliung,19,10,2009,,1,,0,0,3,,18,,,
3313105200910191,33,Jawa Tengah,3313,Karanganyar,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,19,,,,1,1
3303105200910191,33,Jawa Tengah,3303,Purbalingga,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,11,,,,,2
3312105200910191,33,Jawa Tengah,3312,Wonogiri,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,1,,9,,,2
3322105200910191,33,Jawa Tengah,3322,Semarang,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,,,5,,,
3302105200910191,33,Jawa Tengah,3302,Banyumas,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,2,,,,,
3301105200910191,33,Jawa Tengah,3301,Cilacap,105,Puting Beliung,Puting Beliung,19,10,2009,,0,,0,0,1,,,,,
3311201200910191,33,Jawa Tengah,3311,Sukoharjo,201,Kebakaran,Kebakaran,19,10,2009,,0,,0,0,,,,,,
6472201200910191,64,KALIMANTAN TIMUR,6472,KOTA SAMARINDA,201,Kebakaran,Kebakaran,19,10,2009,,0,,0,0,2,,,,,
1171201200910191,11,Aceh,1171,kota Banda Aceh,201,Kebakaran,Kebakaran,19,10,2009,,0,,0,0,,,,,,1
6472201200910181,64,KALIMANTAN TIMUR,6472,KOTA SAMARINDA,201,Kebakaran,Kebakaran,18,10,2009,,0,,0,0,12,,,,,
6472107200910181,64,KALIMANTAN TIMUR,6472,KOTA SAMARINDA,107,Kebakaran hutan dan lahan,Kebakaran hutan dan lahan,18,10,2009,,0,,0,0,,,,,,
3307201200910171,33,Jawa Tengah,3307,Wonosobo,201,Kebakaran,Kebakaran,17,10,2009,,0,,0,0,1,,,,,
6472201200910171,64,KALIMANTAN TIMUR,6472,KOTA SAMARINDA,201,Kebakaran,Kebakaran,17,10,2009,,0,,0,0,126,,,,,
6471201200910171,64,KALIMANTAN TIMUR,6471,Kota Balikpapan,201,kebakaran,kebakaran,17,10,2009,,0,,0,0,1,,,,,
1174201200910161,11,Aceh,1174,Kota Lhokseumawe,201,Kebakaran,Kebakaran,16,10,2009,,0,,0,0,1,,,,,
6471102200910161,64,KALIMANTAN TIMUR,6471,Kota Balikpapan,102,Tanah Longsor,Tanah Longsor,16,10,2009,,0,,0,0,2,,,,,
3601108200910161,36,Banten,3601,Pandeglang,108,Gempa Bumi,Gempa Bumi,16,10,2009,,1,,0,0,41,,179,,2,1
3602201200910161,36,Banten,3602,Lebak,201,Kebakaran,Kebakaran,16,10,2009,,0,,0,457,113,,40,,,
5304201200910161,53,Nusa Tenggara Timur,5304,Timor Tengah Selatan,201,Kebakaran,Kebakaran,16,10,2009,,0,,0,0,10,,,,,
1171201200910151,11,Aceh,1171,kota Banda Aceh,201,Kebakaran,Kebakaran,15,10,2009,,0,,0,0,4,,,,,
3307201200910151,33,Jawa Tengah,3307,Wonosobo,201,Kebakaran,Kebakaran,15,10,2009,,0,,0,0,1,,,,,
3204102200910131,32,Jawa Barat,3204,Bandung,102,Tanah Longsor,Tanah Longsor,13,10,2009,,2,,0,0,4,,,,,
3301201200910131,33,Jawa Tengah,3301,cilacap,201,kebakaran,kebakaran,13,10,2009,,0,,0,0,1,,,,,
3301201200910121,33,Jawa Tengah,3301,cilacap,201,kebakaran,kebakaran,12,10,2009,,0,,0,0,1,,,,,
6472201200910121,64,KALIMANTAN TIMUR,6472,KOTA SAMARINDA,201,Kebakaran,Kebakaran,12,10,2009,,0,,0,0,1,,,,,
5310105200910121,53,Nusa Tenggara Timur,5310,Sikka,105,Puting Beliung,Puting Beliung,12,10,2009,,0,,5,0,1,,,,,
7404201200910121,74,Sulawesi Tenggara,7404,Kolaka,201,Kebakaran,Kebakaran,12,10,2009,,0,,0,0,1,,,,,
1109201200910111,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,11,10,2009,,0,,0,0,1,,,,,
3317105200910111,33,Jawa Tengah,3317,Rembang,105,Puting Beliung,Puting Beliung,11,10,2009,,0,,0,0,1,,,,,
6304105200910111,63,Kalimantan Selatan,6304,Barito Kuala,105,Puting Beliung,Puting Beliung,11,10,2009,,0,,0,0,16,,44,,,
3403201200910101,34,DI Yogyakarta,3403,Gunungkidul,201,kebakaran,kebakaran,10,10,2009,,0,,0,0,1,,,,,
1114105200910101,11,Aceh,1114,aceh tamiang,105,Puting Beliung,Puting Beliung,10,10,2009,,0,,0,0,41,,93,,,3
1109201200910101,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,10,10,2009,,1,,0,0,,,,,,
1117201200910101,11,Aceh,1117,Bener Meriah,201,Kebakaran,Kebakaran,10,10,2009,,0,,0,0,1,,,,,
1109107200910091,11,Aceh,1109,Pidie,107,Kebakaran Hutan dan Lahan,Kebakaran Hutan dan Lahan,9,10,2009,,0,,0,0,,,,,,
3302201200910091,33,Jawa Tengah,3302,Banyumas,201,Kebakaran,Kebakaran,9,10,2009,,0,,0,0,1,,,,,
3322101200910091,33,Jawa Tengah,3322,Semarang,101,Banjir,Banjir,9,10,2009,,0,,0,0,,,,,,
3302201200910081,33,Jawa Tengah,3302,Banyumas,201,Kebakaran,Kebakaran,8,10,2009,,0,,0,0,2,,,,,
3301201200910081,33,Jawa Tengah,3301,cilacap,201,kebakaran,kebakaran,8,10,2009,,0,,0,0,1,,,,,
7206101200910081,72,Sulawesi Tengah,7206,toli-toli,101,Banjir,Banjir,8,10,2009,,0,,0,0,,,,,,
3205102200910071,32,Jawa Barat,3205,Garut,102,Tanah Longsor,Tanah Longsor,7,10,2009,3,3,,0,0,1,,,,1,
3322201200910071,33,Jawa Tengah,3322,Semarang,201,Kebakaran,Kebakaran,7,10,2009,,0,,0,0,1,,,,,
6303105200910071,63,Kalimantan Selatan,6303,Banjar,105,Puting Beliung,Puting Beliung,7,10,2009,,0,,0,0,1,,18,,,
1171201200910061,11,Aceh,1171,Kota Banda Aceh,201,Kebakaran,Kebakaran,6,10,2009,,0,,0,0,,,,,,
3522201200910061,35,Jawa timur,3522,Bojonegoro,201,Kebakaran,Kebakaran,6,10,2009,,0,,0,0,,,2,,,
5315202200910061,53,Nusa Tenggara Timur,5315,Manggarai Barat,202,Kecelakaan Transportasi,Kecelakaan Transportasi,6,10,2009,,6,,0,0,,,,,,
1106201200910051,11,Aceh,1106,Aceh Tengah,201,Kebakaran,Kebakaran,5,10,2009,,0,,0,0,4,,1,,,
3372201200910051,33,Jawa Tengah,3372,Kota Surakarta,201,Kebakaran,Kebakaran,5,10,2009,,0,,0,0,,,,,,
1803101200910051,18,Lampung,1803,Lampung Selatan,101,Banjir,Banjir,5,10,2009,,0,,0,0,,,,,,
3471201200910041,34,DI Yogyakarta,3471,Kota Yogyakarta,201,Kebakaran,Kebakaran,4,10,2009,,0,,0,0,1,,,,,
1109201200910042,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,4,10,2009,,0,,0,0,1,,,,,
6301201200910041,63,Kalimantan Selatan,6301,Tanah Laut,201,Kebakaran,Kebakaran,4,10,2009,,0,,0,0,2,,1,,,
6471201200910041,64,KALIMANTAN TIMUR,6471,Kota Balikpapan,201,Kebakaran,Kebakaran,4,10,2009,,0,,0,0,1,,,,,
1802101200910041,18,Lampung,1802,Tanggamus,101,BANJIR,BANJIR,4,10,2009,3,0,,0,0,104,,1283,,,
1805105200910041,18,Lampung,1805,Lampung Tengah,105,Puting Beliung,Puting Beliung,4,10,2009,,0,,0,0,7,,4,,,
1111201200910041,11,Aceh,1111,Aceh Utara,201,Kebakaran,Kebakaran,4,10,2009,,0,,0,0,,,,,,
1171201200910041,11,Aceh,1171,kota Banda Aceh,201,Kebakaran,Kebakaran,4,10,2009,,1,,0,0,,,,,,
1109201200910041,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,4,10,2009,,0,,0,0,1,,,,,
1116105200910031,11,Aceh,1116,Aceh Jaya,105,Puting Beliung,Puting Beliung,3,10,2009,,0,,0,0,,,,,,
1802101200910021,18,Lampung,1802,Tanggamus,101,banjir,banjir,2,10,2009,6,0,,0,0,17,,840,,,
3207106200910011,32,jawa barat,3207,ciamis,106,kekeringan,kekeringan,1,10,2009,,0,,0,0,,,,,,
3402106200910011,34,DI Yogyakarta,3402,bantul,106,kekeringan,kekeringan,1,10,2009,,0,,0,0,,,,,,
3403201200910011,34,DI Yogyakarta,3403,Gunungkidul,201,kebakaran,kebakaran,1,10,2009,,0,,0,0,1,,,,,
1108106200910011,11,Aceh,1108,Aceh besar,106,kekeringan,kekeringan,1,10,2009,,0,,0,0,,,,,,
1409201200910011,14,Riau,1409,Rokan Hilir,201,Kebakaran,Kebakaran,1,10,2009,,0,,52,0,,,,,,
1501108200910011,15,Jambi,1501,Kerinci,108,Gempa Bumi,Gempa Bumi,1,10,2009,3,26,,7032,0,635,,874,2,24,23
3205106200910011,32,jawa barat,3205,garut,106,kekeringan,kekeringan,1,10,2009,,0,,0,0,,,,,,
3302201200910011,33,Jawa Tengah,3302,Banyumas,201,Kebakaran,Kebakaran,1,10,2009,,0,,0,0,1,,,,,
1803101200910011,18,Lampung,1803,lampung selatan,101,banjir,banjir,1,10,2009,,0,,0,0,,,,,,
1115101200910011,11,Aceh,1115,nagan raya,101,banjir,banjir,1,10,2009,,0,,0,0,,,,,,
1109101200910011,11,Aceh,1109,pidie,101,banjir,banjir,1,10,2009,,0,,0,0,,,,,,
1174104200910011,11,Aceh,1174,Kota Lhokseumawe,104,GELOMBANG PASANG / ABRASI,GELOMBANG PASANG / ABRASI,1,10,2009,,0,,0,310,23,,,,,
7201106200910011,72,sulawesi tengah,7201,banggai Kepulauan,106,kekeringan,kekeringan,1,10,2009,,0,,0,0,,,,,,
1307101200910011,13,sumatera barat,1307,agam,101,banjir,banjir,1,10,2009,,0,,0,0,,,,,,
1302101200910011,13,sumatera barat,1302,pesisir selatan,101,banjir,banjir,1,10,2009,,0,,0,0,,,,,,
1309101200910011,13,sumatera barat,1309,pasaman,101,banjir,banjir,1,10,2009,,0,,0,0,,,,,,
1210106200910011,12,Sumatera utara,1210,dairi,106,kekeringan,kekeringan,1,10,2009,,0,,0,0,,,,,,
1211101200910011,12,Sumatera Utara,1211,karo,101,banjir,banjir,1,10,2009,,0,,0,0,,,,,,
1109201200909301,11,Aceh,1109,Pidie,201,Kebakaran,Kebakaran,30,9,2009,,0,,0,2,1,,,,,
1705101200909301,17,Bengkulu,1705,Seluma,101,Banjir,Banjir,30,9,2009,,162,,0,319,,,,,,
3374201200909301,33,Jawa Tengah,3374,Kota Semarang,201,Kebakaran,Kebakaran,30,9,2009,,0,,0,0,3,,,,,
3318201200909301,33,Jawa Tengah,3318,Pati,201,Kebakaran,Kebakaran,30,9,2009,,0,,0,0,2,,,,,
3307201200909301,33,Jawa Tengah,3307,Wonosobo,201,Kebakaran,Kebakaran,30,9,2009,,0,,0,0,1,,,,,
1174104200909301,11,Aceh,1174,Kota Lhokseumawe,104,GELOMBANG PASANG / ABRASI,GELOMBANG PASANG / ABRASI,30,9,2009,,0,,0,37,10,,,,,
1371108200909301,13,Sumatera Barat,1371,Kota Padang,108,Gempa Bumi,Gempa Bumi,30,9,2009,383,1202,2,0,0,37587,,78891,21,618,3547
1306108200909301,13,Sumatera Barat,1306,Padang Pariaman,108,Gempa Bumi,Gempa Bumi,30,9,2009,666,25,,0,0,57771,,30108,246,988,375
1307108200909301,13,Sumatera Barat,1307,Agam,108,Gempa Bumi,Gempa Bumi,30,9,2009,81,137,,0,6554,11173,,11971,29,350,256
1302108200909301,13,Sumatera Barat,1302,Pesisir Selatan,108,Gempa Bumi,Gempa Bumi,30,9,2009,9,27,,0,0,2187,,16685,28,129,71
1377108200909301,13,Sumatera Barat,1377,Kota Pariaman,108,Gempa Bumi,Gempa Bumi,30,9,2009,48,352,,0,0,6685,,6720,37,213,127
1312108200909301,13,Sumatera Barat,1312,Pasaman Barat,108,Gempa Bumi,Gempa Bumi,30,9,2009,5,30,,0,0,3240,,5908,11,93,44
1309108200909301,13,Sumatera Barat,1309,Pasaman,108,Gempa Bumi,Gempa Bumi,30,9,2009,,0,,0,0,171,,920,3,30,14
1303108200909301,13,Sumatera Barat,1303,Solok,108,Gempa Bumi,Gempa Bumi,30,9,2009,,5,,0,0,145,,600,5,29,67
1374108200909301,13,Sumatera Barat,1374,Kota Padang Panjang,108,Gempa Bumi,Gempa Bumi,30,9,2009,,20,,0,0,17,,577,6,24,90
1305108200909301,13,Sumatera Barat,1305,Tanah Datar,108,Gempa Bumi,Gempa Bumi,30,9,2009,,0,,0,0,29,,105,4,14,9
1375108200909301,13,Sumatera Barat,1375,Kota Bukittinggi,108,Gempa Bumi,Gempa Bumi,30,9,2009,,0,,0,0,,,50,,,14
1301108200909301,13,Sumatera Barat,1301,Kepulauan Mentawai,108,Gempa Bumi,Gempa Bumi,30,9,2009,,0,,0,0,,,,1,,6
