"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone"
"200805","01","1","887","15.332","3645","5.03362"
"200806","01","1","1187","16.435","5641","4.68886"
"200807","01","1","1176","16.351","5465","4.82443"
"200808","01","1","904","16.992","3757","4.95401"
"200809","01","1","1027","17.789","3992","4.65562"
"200810","01","1","1273","15.912","5900","4.87626"
"200811","01","1","1559","16.478","7451","4.68802"
"200812","01","1","1397","15.927","6231","5.42918"
"200901","01","1","2560","16.692","16427","4.51496"
"200902","01","1","2167","14.814","11293","4.91255"
"200903","01","1","1971","16.291","9098","5.06613"
"200904","01","1","2017","15.911","10441","5.02794"
"200905","01","1","2031","16.264","10917","4.64264"
"200906","01","1","1632","15.97","7542","4.91176"
"200907","01","1","2181","17.554","12931","4.49495"
"200908","01","1","2961","17.564","19597","4.46422"
"200909","01","1","2798","16.635","20157","4.24536"
"200910","01","1","3879","17.823","33158","5.03773"
"200911","01","1","2305","16.471","14429","4.75706"
"200912","01","1","2575","16.667","15841","4.69968"
"201001","01","1","2240","16.83","12338","4.89111"
"201002","01","1","2118","15.564","13191","5.01259"
"201003","01","1","870","13.124","4786","5.00707"
"201004","01","1","1418","17.238","8978","4.49013"
"201005","01","1","1126","15.854","6631","4.96981"
"201006","01","1","806","15.213","4718","4.74534"
"201007","01","1","1715","17.656","8861","5.10505"
"201008","01","1","3884","17.182","27532","4.73016"
"201009","01","1","3478","15.969","23103","4.80989"
"201010","01","1","3388","16.44","25777","4.70261"
"201011","01","1","3514","13.869","33099","5.16772"
"201012","01","1","2512","16.095","15203","5.23366"
"201101","01","1","2150","15.75","13413","4.79161"
"201102","01","1","2226","14.637","14261","4.78065"
"201103","01","1","2825","15.967","16604","4.92366"
"201104","01","1","2714","14.625","20265","5.07218"
"201105","01","1","2795","15.082","18537","4.95123"
"201106","01","1","2850","14.926","19268","4.90718"
"201107","01","1","3041","14.574","22547","5.51624"
"201108","01","1","2758","14.918","17892","5.0181"
"201109","01","1","2538","16.319","16637","4.64039"
