"MonthYear","EventRootCode","QuadClass","CountEventNegativeTone","CountEventPositiveTone","SumNumNegativeArticle","SumNumPositiveArticle"
"200809","01","1","1","1026","3","3989"
"200810","01","1","0","1273","0","5900"
"200811","01","1","0","1559","0","7451"
"200812","01","1","0","1397","0","6231"
"200901","01","1","0","2560","0","16427"
"200902","01","1","0","2167","0","11293"
"200903","01","1","0","1971","0","9098"
"200904","01","1","0","2017","0","10441"
"200905","01","1","0","2031","0","10917"
"200906","01","1","0","1632","0","7542"
"200907","01","1","0","2181","0","12931"
"200908","01","1","0","2961","0","19597"
"200909","01","1","0","2798","0","20157"
"200910","01","1","0","3879","0","33158"
"200911","01","1","0","2305","0","14429"
"200912","01","1","0","2575","0","15841"
"201001","01","1","0","2240","0","12338"
"201002","01","1","0","2118","0","13191"
"201003","01","1","0","870","0","4786"
"201004","01","1","0","1418","0","8978"
"201005","01","1","0","1126","0","6631"
"201006","01","1","0","806","0","4718"
"201007","01","1","0","1715","0","8861"
"201008","01","1","0","3884","0","27532"
"201009","01","1","0","3478","0","23103"
"201010","01","1","0","3388","0","25777"
"201011","01","1","0","3514","0","33099"
"201012","01","1","0","2512","0","15203"
"201101","01","1","0","2150","0","13413"
"201102","01","1","0","2226","0","14261"
"201103","01","1","0","2825","0","16604"
"201104","01","1","0","2714","0","20265"
"201105","01","1","0","2795","0","18537"
"201106","01","1","0","2850","0","19268"
"201107","01","1","0","3041","0","22547"
"201108","01","1","0","2758","0","17892"
"201109","01","1","0","2538","0","16637"
"201110","01","1","0","2488","0","15650"
"201111","01","1","0","2821","0","16921"
"201112","01","1","0","2133","0","12984"
"201201","01","1","0","2283","0","13096"
"201202","01","1","0","2427","0","16664"
"201203","01","1","0","2864","0","20108"
"201204","01","1","0","2886","0","20082"
"201205","01","1","0","3264","0","21430"
"201206","01","1","0","2776","0","16728"
"201207","01","1","0","2629","0","20302"
"201208","01","1","0","2288","0","16203"
"201209","01","1","0","2848","0","23520"
"201210","01","1","0","2926","0","20515"
"201211","01","1","0","2681","0","15974"
"201212","01","1","0","1971","0","11638"
"201301","01","1","0","2719","0","18306"
"201302","01","1","0","2236","0","15344"
"201303","01","1","0","2343","0","15112"
"201304","01","1","0","884","0","6029"
"201305","01","1","0","1008","0","6960"
"201306","01","1","0","2164","0","16306"
"201307","01","1","0","3199","0","25141"
"201308","01","1","0","2885","0","22399"
"201309","01","1","0","3617","0","27605"
"201310","01","1","0","3578","0","26905"
"201311","01","1","0","3783","0","30801"
"201312","01","1","0","2382","0","18107"
"201401","01","1","0","2334","0","20230"
"201402","01","1","8","4020","30","33072"
"201403","01","1","24","2949","477","24406"
"201404","01","1","41","2985","589","24971"
"201405","01","1","25","2421","779","17666"
"201406","01","1","13","2200","48","16389"
"201407","01","1","40","3341","606","35535"
"201408","01","1","19","3141","1150","23536"
"201409","01","1","14","2574","72","20620"
"201410","01","1","41","3612","179","28824"
"201411","01","1","38","3023","312","22972"
"201412","01","1","40","5631","586","87216"
"201501","01","1","45","6000","404","64328"
"201502","01","1","2012","3223","46433","25703"
"201503","01","1","4618","1240","104553","8969"
"201504","01","1","6323","1704","163281","17113"
"201505","01","1","4450","1000","82342","7374"
"201506","01","1","3466","1066","69132","6642"
"201507","01","1","3390","957","53622","6795"
"201508","01","1","3079","1164","52546","8954"
"201509","01","1","3092","1304","39516","10368"
"201510","01","1","3950","1126","46328","9040"
"201511","01","1","3401","1194","44227","8164"
"201512","01","1","2768","999","49359","6977"
"201601","01","1","4441","1060","92665","9414"
"201602","01","1","2847","993","41388","8767"
"201603","01","1","3304","1099","36481","6929"
"201604","01","1","2756","1039","30886","7039"
"201605","01","1","2753","1196","33577","9484"
"201606","01","1","3427","1180","41868","7381"
"201607","01","1","3090","999","40927","5514"
"201608","01","1","3446","1347","36351","9852"
"201609","01","1","3341","1256","32242","8278"
"201610","01","1","2484","1311","32264","9082"
"201611","01","1","3179","1331","35137","12401"
"201612","01","1","3597","1046","62086","8771"
"201701","01","1","3289","1166","43527","7486"
"201702","01","1","3167","1215","41364","9582"
"201703","01","1","2784","1505","30734","11825"
"201704","01","1","2481","1242","27769","11988"
"201705","01","1","3227","1122","43007","6989"
"201706","01","1","2361","937","22757","5186"
"201707","01","1","1980","780","19372","4724"
"201708","01","1","1631","977","15797","5494"
"201709","01","1","2447","925","22428","6228"
"201710","01","1","2463","927","35803","6259"
"201711","01","1","2481","960","52613","5603"
"201712","01","1","1592","837","18064","5037"
"201801","01","1","1825","1035","19260","5989"
"201802","01","1","1776","777","21978","4397"
"201803","01","1","1673","864","15010","6782"
"201804","01","1","1787","807","22725","6203"
"201805","01","1","2526","906","46560","6308"
"201806","01","1","1510","824","17701","5023"
"201807","01","1","1596","818","18659","4651"
"201808","01","1","2587","886","46915","6591"
"201809","01","1","1717","901","29856","5894"
"201810","01","1","4063","1133","110878","9004"
"201811","01","1","724","182","18456","856"
"199901","02","1","0","326","0","1666"
"199902","02","1","0","487","0","2682"
"199903","02","1","0","463","0","2542"
"199904","02","1","0","518","0","2776"
"199905","02","1","0","396","0","2187"
"199906","02","1","0","400","0","2466"
"199907","02","1","0","433","0","2370"
"199908","02","1","0","474","0","2937"
"199909","02","1","0","1303","0","7341"
"199910","02","1","0","611","0","3464"
"199911","02","1","0","546","0","3245"
"199912","02","1","0","497","0","3069"
"200001","02","1","0","653","0","3673"
"200002","02","1","0","413","0","1988"
"200003","02","1","0","294","0","1664"
"200004","02","1","0","320","0","1861"
"200005","02","1","0","284","0","1811"
"200006","02","1","0","388","0","2369"
"200007","02","1","0","374","0","1995"
"200008","02","1","0","390","0","2420"
"200009","02","1","0","446","0","2270"
"200010","02","1","0","394","0","2031"
"200011","02","1","0","373","0","1778"
"200012","02","1","0","279","0","1382"
"200101","02","1","0","335","0","1547"
"200102","02","1","0","490","0","3035"
"200103","02","1","0","389","0","2149"
"200104","02","1","0","248","0","1385"
"200105","02","1","0","493","0","3402"
"200106","02","1","0","334","0","1713"
"200107","02","1","0","373","0","2003"
"200108","02","1","0","344","0","1814"
"200109","02","1","0","304","0","1422"
"200110","02","1","0","381","0","1927"
"200111","02","1","0","319","0","1554"
"200112","02","1","0","196","0","942"
"200201","02","1","0","275","0","1389"
"200202","02","1","0","275","0","1403"
"200203","02","1","0","159","0","762"
"200204","02","1","0","213","0","981"
"200205","02","1","0","181","0","848"
"200206","02","1","0","145","0","643"
"200207","02","1","0","367","0","1596"
"200208","02","1","0","435","0","2086"
"200209","02","1","0","237","0","1057"
"200210","02","1","0","342","0","1576"
"200211","02","1","0","311","0","1493"
"200212","02","1","0","308","0","1512"
"200301","02","1","0","350","0","1751"
"200302","02","1","0","282","0","1463"
"200303","02","1","0","347","0","2431"
"200304","02","1","0","365","0","2752"
"200305","02","1","0","425","0","2762"
"200306","02","1","0","411","0","1823"
"200307","02","1","0","484","0","2125"
