"MonthYear","EventRootCode","QuadClass","CountEvent","Intensity","SumNumArticles","RerataAvgTone","CountEventNegativeTone","CountEventPositiveTone","SumNumNegativeArticle","SumNumPositiveArticle"
"201005","01","1","1126","15.854","6631","4.96981","0","1126","0","6631"
"201006","01","1","806","15.213","4718","4.74534","0","806","0","4718"
"201007","01","1","1715","17.656","8861","5.10505","0","1715","0","8861"
"201008","01","1","3884","17.182","27532","4.73016","0","3884","0","27532"
"201009","01","1","3478","15.969","23103","4.80989","0","3478","0","23103"
"201010","01","1","3388","16.44","25777","4.70261","0","3388","0","25777"
"201011","01","1","3514","13.869","33099","5.16772","0","3514","0","33099"
"201012","01","1","2512","16.095","15203","5.23366","0","2512","0","15203"
"201101","01","1","2150","15.75","13413","4.79161","0","2150","0","13413"
"201102","01","1","2226","14.637","14261","4.78065","0","2226","0","14261"
"201103","01","1","2825","15.967","16604","4.92366","0","2825","0","16604"
"201104","01","1","2714","14.625","20265","5.07218","0","2714","0","20265"
"201105","01","1","2795","15.082","18537","4.95123","0","2795","0","18537"
"201106","01","1","2850","14.926","19268","4.90718","0","2850","0","19268"
"201107","01","1","3041","14.574","22547","5.51624","0","3041","0","22547"
"201108","01","1","2758","14.918","17892","5.0181","0","2758","0","17892"
"201109","01","1","2538","16.319","16637","4.64039","0","2538","0","16637"
"201110","01","1","2488","14.376","15650","4.88159","0","2488","0","15650"
"201111","01","1","2821","14.182","16921","5.06199","0","2821","0","16921"
"201112","01","1","2133","16.052","12984","4.88199","0","2133","0","12984"
"201201","01","1","2283","15.593","13096","4.80626","0","2283","0","13096"
"201202","01","1","2427","15.244","16664","4.64361","0","2427","0","16664"
"201203","01","1","2864","15.788","20108","4.87887","0","2864","0","20108"
"201204","01","1","2886","16.096","20082","4.80439","0","2886","0","20082"
"201205","01","1","3264","15.901","21430","5.10143","0","3264","0","21430"
"201206","01","1","2776","16.295","16728","4.72452","0","2776","0","16728"
"201207","01","1","2629","15.215","20302","5.1109","0","2629","0","20302"
"201208","01","1","2288","14.451","16203","5.33771","0","2288","0","16203"
"201209","01","1","2848","14.51","23520","4.94305","0","2848","0","23520"
"201210","01","1","2926","15.369","20515","5.31757","0","2926","0","20515"
"201211","01","1","2681","14.557","15974","2.38677","0","2681","0","15974"
"201212","01","1","1971","14.615","11638","2.34873","0","1971","0","11638"
"201301","01","1","2719","16.884","18306","2.20982","0","2719","0","18306"
"201302","01","1","2236","16.002","15344","2.33201","0","2236","0","15344"
"201303","01","1","2343","15.615","15112","2.32062","0","2343","0","15112"
"201304","01","1","884","15.121","6029","1.98659","0","884","0","6029"
"201305","01","1","1008","15.517","6960","2.26694","0","1008","0","6960"
"201306","01","1","2164","14.676","16306","2.01313","0","2164","0","16306"
"201307","01","1","3199","14.783","25141","2.05246","0","3199","0","25141"
"201308","01","1","2885","14.145","22399","2.24672","0","2885","0","22399"
"201309","01","1","3617","13.635","27605","2.34858","0","3617","0","27605"
"201310","01","1","3578","12.854","26905","2.27713","0","3578","0","26905"
"201311","01","1","3783","14.455","30801","2.41857","0","3783","0","30801"
"201312","01","1","2382","14.935","18107","2.36238","0","2382","0","18107"
"201401","01","1","2334","15.609","20230","1.96267","0","2334","0","20230"
"201402","01","1","4028","15.594","33102","2.07871","8","4020","30","33072"
"201403","01","1","2973","16.175","24883","2.04676","24","2949","477","24406"
"201404","01","1","3026","17.098","25560","2.16649","41","2985","589","24971"
"201405","01","1","2446","15.655","18445","2.21908","25","2421","779","17666"
"201406","01","1","2213","14.917","16437","2.37681","13","2200","48","16389"
"201407","01","1","3381","17.825","36141","2.46339","40","3341","606","35535"
"201408","01","1","3160","15.099","24686","2.19987","19","3141","1150","23536"
"201409","01","1","2588","14.754","20692","2.10447","14","2574","72","20620"
"201410","01","1","3653","15.57","29003","2.32473","41","3612","179","28824"
"201411","01","1","3061","14.536","23284","2.20414","38","3023","312","22972"
"201412","01","1","5671","16.584","87802","1.81625","40","5631","586","87216"
"201501","01","1","6045","16.01","64732","1.92758","45","6000","404","64328"
"201502","01","1","5235","15.989","72136","-0.180153","2012","3223","46433","25703"
"201503","01","1","5858","15.267","113522","-2.62299","4618","1240","104553","8969"
"201504","01","1","8027","14.671","180394","-2.80934","6323","1704","163281","17113"
"201505","01","1","5450","13.42","89716","-3.24665","4450","1000","82342","7374"
"201506","01","1","4532","16.782","75774","-2.71744","3466","1066","69132","6642"
"201507","01","1","4347","16.035","60417","-2.54734","3390","957","53622","6795"
"201508","01","1","4243","15.697","61500","-2.12737","3079","1164","52546","8954"
"201509","01","1","4396","14.804","49884","-2.091","3092","1304","39516","10368"
"201510","01","1","5076","14.309","55368","-2.99011","3950","1126","46328","9040"
"201511","01","1","4595","13.908","52391","-2.51607","3401","1194","44227","8164"
"201512","01","1","3767","14.671","56336","-2.46818","2768","999","49359","6977"
"201601","01","1","5501","15.295","102079","-4.15521","4441","1060","92665","9414"
"201602","01","1","3840","14.1","50155","-2.50043","2847","993","41388","8767"
"201603","01","1","4403","14.319","43410","-2.52862","3304","1099","36481","6929"
"201604","01","1","3795","13.091","37925","-2.28015","2756","1039","30886","7039"
"201605","01","1","3949","12.917","43061","-2.28539","2753","1196","33577","9484"
"201606","01","1","4607","14.762","49249","-2.31998","3427","1180","41868","7381"
"201607","01","1","4089","13.683","46441","-2.87386","3090","999","40927","5514"
"201608","01","1","4793","13.869","46203","-2.38413","3446","1347","36351","9852"
"201609","01","1","4597","13.673","40520","-2.36816","3341","1256","32242","8278"
"201610","01","1","3795","13.651","41346","-2.03235","2484","1311","32264","9082"
"201611","01","1","4510","13.289","47538","-2.58612","3179","1331","35137","12401"
"201612","01","1","4643","13.868","70857","-3.45544","3597","1046","62086","8771"
"201701","01","1","4455","14.974","51013","-2.24273","3289","1166","43527","7486"
"201702","01","1","4382","14.089","50946","-2.15181","3167","1215","41364","9582"
"201703","01","1","4289","11.849","42559","-1.92928","2784","1505","30734","11825"
"201704","01","1","3723","13.019","39757","-1.99525","2481","1242","27769","11988"
"201705","01","1","4349","13.159","49996","-2.9815","3227","1122","43007","6989"
"201706","01","1","3298","13.77","27943","-2.6742","2361","937","22757","5186"
"201707","01","1","2760","12.668","24096","-2.41018","1980","780","19372","4724"
"201708","01","1","2608","13.562","21291","-1.78268","1631","977","15797","5494"
"201709","01","1","3372","14.599","28656","-2.4201","2447","925","22428","6228"
"201710","01","1","3390","14.859","42062","-2.57478","2463","927","35803","6259"
"201711","01","1","3441","14.245","58216","-2.397","2481","960","52613","5603"
"201712","01","1","2429","13.221","23101","-1.97692","1592","837","18064","5037"
"201801","01","1","2860","14","25249","-1.93563","1825","1035","19260","5989"
"201802","01","1","2553","13.383","26375","-2.52181","1776","777","21978","4397"
"201803","01","1","2537","12.653","21792","-2.09699","1673","864","15010","6782"
"201804","01","1","2594","13.754","28928","-2.22281","1787","807","22725","6203"
"201805","01","1","3432","12.074","52868","-3.76387","2526","906","46560","6308"
"201806","01","1","2334","12.284","22724","-1.81465","1510","824","17701","5023"
"201807","01","1","2414","12.788","23310","-2.18684","1596","818","18659","4651"
"201808","01","1","3473","15.199","53506","-2.77921","2587","886","46915","6591"
"201809","01","1","2618","13.413","35750","-1.96143","1717","901","29856","5894"
"201810","01","1","5196","14.917","119882","-2.64475","4063","1133","110878","9004"
"201811","01","1","906","15.434","19312","-2.4649","724","182","18456","856"
"199901","02","1","326","6.77","1666","5.42334","0","326","0","1666"
"199902","02","1","487","8.859","2682","5.42906","0","487","0","2682"
"199903","02","1","463","6.919","2542","5.00863","0","463","0","2542"
"199904","02","1","518","7.729","2776","5.1485","0","518","0","2776"
"199905","02","1","396","6.295","2187","5.58696","0","396","0","2187"
"199906","02","1","400","6.506","2466","5.92997","0","400","0","2466"
"199907","02","1","433","6.835","2370","5.21444","0","433","0","2370"
"199908","02","1","474","6.278","2937","5.39978","0","474","0","2937"
"199909","02","1","1303","6.651","7341","5.72502","0","1303","0","7341"
